2020-04-08 17:32:12.000 | DEBUG    | __main__:run:44 - 采集脚本发生错误("'NoneType' object is not iterable",)
2020-04-08 17:32:12.000 | DEBUG    | __main__:run:44 - 采集脚本发生错误("'NoneType' object is not iterable",)
2020-04-08 17:32:43.658 | INFO     | __main__:run:33 - 目前还剩余~~~~100个keywords未采集
2020-04-08 17:32:43.658 | INFO     | __main__:run:33 - 目前还剩余~~~~100个keywords未采集
2020-04-08 17:32:43.659 | INFO     | __main__:run:37 - 正在采集第~~~1-50个关键词
2020-04-08 17:32:43.659 | INFO     | __main__:run:37 - 正在采集第~~~1-50个关键词
2020-04-08 17:32:43.671 | DEBUG    | __main__:run:44 - 采集脚本发生错误("'NoneType' object is not iterable",)
2020-04-08 17:32:43.671 | DEBUG    | __main__:run:44 - 采集脚本发生错误("'NoneType' object is not iterable",)
2020-04-08 17:32:43.671 | DEBUG    | __main__:run:44 - 采集脚本发生错误("'NoneType' object is not iterable",)
2020-04-08 17:33:34.754 | INFO     | __main__:run:33 - 目前还剩余~~~~100个keywords未采集
2020-04-08 17:33:34.754 | INFO     | __main__:run:33 - 目前还剩余~~~~100个keywords未采集
2020-04-08 17:33:34.756 | INFO     | __main__:run:37 - 正在采集第~~~1-50个关键词
2020-04-08 17:33:34.756 | INFO     | __main__:run:37 - 正在采集第~~~1-50个关键词
2020-04-08 17:33:34.775 | DEBUG    | __main__:run:44 - 采集脚本发生错误("'NoneType' object is not iterable",)
2020-04-08 17:33:34.775 | DEBUG    | __main__:run:44 - 采集脚本发生错误("'NoneType' object is not iterable",)
2020-04-08 17:33:34.775 | DEBUG    | __main__:run:44 - 采集脚本发生错误("'NoneType' object is not iterable",)
2020-04-08 17:36:15.622 | INFO     | __main__:run:33 - 目前还剩余~~~~100个keywords未采集
2020-04-08 17:36:15.622 | INFO     | __main__:run:33 - 目前还剩余~~~~100个keywords未采集
2020-04-08 17:36:15.624 | INFO     | __main__:run:37 - 正在采集第~~~1-50个关键词
2020-04-08 17:36:15.624 | INFO     | __main__:run:37 - 正在采集第~~~1-50个关键词
2020-04-08 17:36:15.646 | DEBUG    | __main__:run:44 - 采集脚本发生错误("'NoneType' object is not iterable",)
2020-04-08 17:36:15.646 | DEBUG    | __main__:run:44 - 采集脚本发生错误("'NoneType' object is not iterable",)
2020-04-08 17:36:15.646 | DEBUG    | __main__:run:44 - 采集脚本发生错误("'NoneType' object is not iterable",)
2020-04-08 17:38:32.817 | INFO     | __main__:run:28 - 目前还剩余~~~~100个keywords未采集
2020-04-08 17:38:32.817 | INFO     | __main__:run:28 - 目前还剩余~~~~100个keywords未采集
2020-04-08 17:38:32.819 | INFO     | __main__:run:32 - 正在采集第~~~1-50个关键词
2020-04-08 17:38:32.819 | INFO     | __main__:run:32 - 正在采集第~~~1-50个关键词
2020-04-08 17:38:32.848 | DEBUG    | __main__:run:39 - 采集脚本发生错误("'NoneType' object is not iterable",)
2020-04-08 17:38:32.848 | DEBUG    | __main__:run:39 - 采集脚本发生错误("'NoneType' object is not iterable",)
2020-04-08 17:38:32.848 | DEBUG    | __main__:run:39 - 采集脚本发生错误("'NoneType' object is not iterable",)
2020-04-08 17:40:01.373 | INFO     | __main__:run:30 - 目前还剩余~~~~100个keywords未采集
2020-04-08 17:40:01.373 | INFO     | __main__:run:30 - 目前还剩余~~~~100个keywords未采集
2020-04-08 17:40:01.374 | INFO     | __main__:run:34 - 正在采集第~~~1-50个关键词
2020-04-08 17:40:01.374 | INFO     | __main__:run:34 - 正在采集第~~~1-50个关键词
2020-04-08 17:40:01.404 | DEBUG    | __main__:run:41 - 采集脚本发生错误("'NoneType' object is not iterable",)
2020-04-08 17:40:01.404 | DEBUG    | __main__:run:41 - 采集脚本发生错误("'NoneType' object is not iterable",)
2020-04-08 17:40:01.404 | DEBUG    | __main__:run:41 - 采集脚本发生错误("'NoneType' object is not iterable",)
2020-04-08 17:40:23.546 | INFO     | __main__:run:30 - 目前还剩余~~~~100个keywords未采集
2020-04-08 17:40:23.546 | INFO     | __main__:run:30 - 目前还剩余~~~~100个keywords未采集
2020-04-08 17:40:23.548 | INFO     | __main__:run:34 - 正在采集第~~~1-50个关键词
2020-04-08 17:40:23.548 | INFO     | __main__:run:34 - 正在采集第~~~1-50个关键词
2020-04-08 17:40:23.550 | INFO     | __main__:run:34 - 正在采集第~~~51-100个关键词
2020-04-08 17:40:23.550 | INFO     | __main__:run:34 - 正在采集第~~~51-100个关键词
2020-04-08 17:40:54.859 | INFO     | __main__:run:30 - 目前还剩余~~~~100个keywords未采集
2020-04-08 17:40:54.859 | INFO     | __main__:run:30 - 目前还剩余~~~~100个keywords未采集
2020-04-08 17:40:54.860 | INFO     | __main__:run:34 - 正在采集第~~~1-50个关键词
2020-04-08 17:40:54.860 | INFO     | __main__:run:34 - 正在采集第~~~1-50个关键词
2020-04-08 17:40:54.863 | INFO     | __main__:run:34 - 正在采集第~~~51-100个关键词
2020-04-08 17:40:54.863 | INFO     | __main__:run:34 - 正在采集第~~~51-100个关键词
2020-04-08 17:42:47.071 | INFO     | __main__:run:30 - 目前还剩余~~~~100个keywords未采集
2020-04-08 17:42:47.071 | INFO     | __main__:run:30 - 目前还剩余~~~~100个keywords未采集
2020-04-08 17:42:47.073 | INFO     | __main__:run:34 - 正在采集第~~~1-50个关键词
2020-04-08 17:42:47.073 | INFO     | __main__:run:34 - 正在采集第~~~1-50个关键词
2020-04-08 17:42:47.091 | DEBUG    | __main__:run:42 - 采集脚本发生错误("'NoneType' object is not iterable",)
2020-04-08 17:42:47.091 | DEBUG    | __main__:run:42 - 采集脚本发生错误("'NoneType' object is not iterable",)
2020-04-08 17:42:47.091 | DEBUG    | __main__:run:42 - 采集脚本发生错误("'NoneType' object is not iterable",)
2020-04-08 17:43:00.137 | INFO     | __main__:run:30 - 目前还剩余~~~~100个keywords未采集
2020-04-08 17:43:00.137 | INFO     | __main__:run:30 - 目前还剩余~~~~100个keywords未采集
2020-04-08 17:43:00.139 | INFO     | __main__:run:34 - 正在采集第~~~1-50个关键词
2020-04-08 17:43:00.139 | INFO     | __main__:run:34 - 正在采集第~~~1-50个关键词
2020-04-08 17:43:00.165 | DEBUG    | __main__:run:42 - 采集脚本发生错误("'NoneType' object is not iterable",)
2020-04-08 17:43:00.165 | DEBUG    | __main__:run:42 - 采集脚本发生错误("'NoneType' object is not iterable",)
2020-04-08 17:43:00.165 | DEBUG    | __main__:run:42 - 采集脚本发生错误("'NoneType' object is not iterable",)
2020-04-08 17:45:20.616 | INFO     | __main__:run:30 - 目前还剩余~~~~100个keywords未采集
2020-04-08 17:45:20.616 | INFO     | __main__:run:30 - 目前还剩余~~~~100个keywords未采集
2020-04-08 17:45:20.618 | INFO     | __main__:run:34 - 正在采集第~~~1-50个关键词
2020-04-08 17:45:20.618 | INFO     | __main__:run:34 - 正在采集第~~~1-50个关键词
2020-04-08 17:45:20.636 | DEBUG    | __main__:run:41 - 采集脚本发生错误("'NoneType' object is not iterable",)
2020-04-08 17:45:20.636 | DEBUG    | __main__:run:41 - 采集脚本发生错误("'NoneType' object is not iterable",)
2020-04-08 17:45:20.636 | DEBUG    | __main__:run:41 - 采集脚本发生错误("'NoneType' object is not iterable",)
2020-04-08 17:48:12.537 | INFO     | __main__:run:30 - 目前还剩余~~~~100个keywords未采集
2020-04-08 17:48:12.537 | INFO     | __main__:run:30 - 目前还剩余~~~~100个keywords未采集
2020-04-08 17:48:12.539 | INFO     | __main__:run:34 - 正在采集第~~~1-50个关键词
2020-04-08 17:48:12.539 | INFO     | __main__:run:34 - 正在采集第~~~1-50个关键词
2020-04-08 17:48:12.559 | DEBUG    | __main__:run:41 - 采集脚本发生错误('tuple indices must be integers or slices, not str',)
2020-04-08 17:48:12.559 | DEBUG    | __main__:run:41 - 采集脚本发生错误('tuple indices must be integers or slices, not str',)
2020-04-08 17:48:12.559 | DEBUG    | __main__:run:41 - 采集脚本发生错误('tuple indices must be integers or slices, not str',)
2020-04-08 17:48:39.579 | INFO     | __main__:run:30 - 目前还剩余~~~~100个keywords未采集
2020-04-08 17:48:39.579 | INFO     | __main__:run:30 - 目前还剩余~~~~100个keywords未采集
2020-04-08 17:48:39.581 | INFO     | __main__:run:34 - 正在采集第~~~1-50个关键词
2020-04-08 17:48:39.581 | INFO     | __main__:run:34 - 正在采集第~~~1-50个关键词
2020-04-08 17:48:45.929 | DEBUG    | __main__:run:41 - 采集脚本发生错误("a bytes-like object is required, not 'str'",)
2020-04-08 17:48:45.929 | DEBUG    | __main__:run:41 - 采集脚本发生错误("a bytes-like object is required, not 'str'",)
2020-04-08 17:48:45.929 | DEBUG    | __main__:run:41 - 采集脚本发生错误("a bytes-like object is required, not 'str'",)
2020-04-08 17:50:35.593 | INFO     | __main__:run:30 - 目前还剩余~~~~100个keywords未采集
2020-04-08 17:50:35.593 | INFO     | __main__:run:30 - 目前还剩余~~~~100个keywords未采集
2020-04-08 17:50:35.594 | INFO     | __main__:run:34 - 正在采集第~~~1-50个关键词
2020-04-08 17:50:35.594 | INFO     | __main__:run:34 - 正在采集第~~~1-50个关键词
2020-04-08 17:50:38.060 | DEBUG    | __main__:run:41 - 采集脚本发生错误("a bytes-like object is required, not 'str'",)
2020-04-08 17:50:38.060 | DEBUG    | __main__:run:41 - 采集脚本发生错误("a bytes-like object is required, not 'str'",)
2020-04-08 17:50:38.060 | DEBUG    | __main__:run:41 - 采集脚本发生错误("a bytes-like object is required, not 'str'",)
2020-04-08 17:51:55.006 | INFO     | __main__:run:30 - 目前还剩余~~~~100个keywords未采集
2020-04-08 17:51:55.006 | INFO     | __main__:run:30 - 目前还剩余~~~~100个keywords未采集
2020-04-08 17:51:55.007 | INFO     | __main__:run:34 - 正在采集第~~~1-50个关键词
2020-04-08 17:51:55.007 | INFO     | __main__:run:34 - 正在采集第~~~1-50个关键词
2020-04-08 17:51:59.453 | DEBUG    | __main__:run:41 - 采集脚本发生错误("a bytes-like object is required, not 'str'",)
2020-04-08 17:51:59.453 | DEBUG    | __main__:run:41 - 采集脚本发生错误("a bytes-like object is required, not 'str'",)
2020-04-08 17:51:59.453 | DEBUG    | __main__:run:41 - 采集脚本发生错误("a bytes-like object is required, not 'str'",)
2020-04-08 17:53:44.818 | INFO     | __main__:run:30 - 目前还剩余~~~~100个keywords未采集
2020-04-08 17:53:44.818 | INFO     | __main__:run:30 - 目前还剩余~~~~100个keywords未采集
2020-04-08 17:53:44.819 | INFO     | __main__:run:34 - 正在采集第~~~1-50个关键词
2020-04-08 17:53:44.819 | INFO     | __main__:run:34 - 正在采集第~~~1-50个关键词
2020-04-08 17:53:46.254 | DEBUG    | __main__:run:41 - 采集脚本发生错误("a bytes-like object is required, not 'str'",)
2020-04-08 17:53:46.254 | DEBUG    | __main__:run:41 - 采集脚本发生错误("a bytes-like object is required, not 'str'",)
2020-04-08 17:53:46.254 | DEBUG    | __main__:run:41 - 采集脚本发生错误("a bytes-like object is required, not 'str'",)
2020-04-08 17:54:54.208 | INFO     | __main__:run:30 - 目前还剩余~~~~100个keywords未采集
2020-04-08 17:54:54.208 | INFO     | __main__:run:30 - 目前还剩余~~~~100个keywords未采集
2020-04-08 17:54:54.208 | INFO     | __main__:run:34 - 正在采集第~~~1-50个关键词
2020-04-08 17:54:54.208 | INFO     | __main__:run:34 - 正在采集第~~~1-50个关键词
2020-04-08 17:54:58.642 | DEBUG    | __main__:run:41 - 采集脚本发生错误("a bytes-like object is required, not 'str'",)
2020-04-08 17:54:58.642 | DEBUG    | __main__:run:41 - 采集脚本发生错误("a bytes-like object is required, not 'str'",)
2020-04-08 17:54:58.642 | DEBUG    | __main__:run:41 - 采集脚本发生错误("a bytes-like object is required, not 'str'",)
2020-04-08 17:55:48.294 | INFO     | __main__:run:30 - 目前还剩余~~~~100个keywords未采集
2020-04-08 17:55:48.294 | INFO     | __main__:run:30 - 目前还剩余~~~~100个keywords未采集
2020-04-08 17:55:48.295 | INFO     | __main__:run:34 - 正在采集第~~~1-50个关键词
2020-04-08 17:55:48.295 | INFO     | __main__:run:34 - 正在采集第~~~1-50个关键词
2020-04-08 17:55:48.611 | DEBUG    | __main__:run:41 - 采集脚本发生错误("a bytes-like object is required, not 'str'",)
2020-04-08 17:55:48.611 | DEBUG    | __main__:run:41 - 采集脚本发生错误("a bytes-like object is required, not 'str'",)
2020-04-08 17:55:48.611 | DEBUG    | __main__:run:41 - 采集脚本发生错误("a bytes-like object is required, not 'str'",)
2020-04-08 17:56:15.788 | INFO     | __main__:run:30 - 目前还剩余~~~~100个keywords未采集
2020-04-08 17:56:15.788 | INFO     | __main__:run:30 - 目前还剩余~~~~100个keywords未采集
2020-04-08 17:56:15.790 | INFO     | __main__:run:34 - 正在采集第~~~1-50个关键词
